# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
41,1624916426.376458,67190784,-0.0026484947302378714,0.06584732296566169,1.3187139729658763,0.708875,0.85375,0.26512498,0.0,0.63925,0.87625,4888.698278380259,0.8,0.7,0.3
42,1624916765.2272017,68829184,-0.003381814332290863,0.039553572346145906,1.38567948838075,0.695375,0.865,0.18425,0.0,0.697625,0.825625,4833.843461229751,0.8,0.8,0.2
43,1624917103.6769907,70467584,-0.0005699767110248407,0.03754429092320303,1.397109900911649,0.7415,0.91,0.15037501,0.0,0.747125,0.95500004,4839.46344120219,0.8,0.8,0.3
44,1624917444.383066,72105984,-0.000843459953709195,0.017107379739172757,1.3028195252021153,0.815625,0.89875,0.0,0.0,0.82912505,0.88750005,4808.99981319392,0.9,0.9,0.0
45,1624917785.5769365,73744384,-0.0013988482921073835,0.045423126158614956,1.308299571275711,0.63925,0.87625,0.09775,0.0,0.47750002,0.455,4769.977108121007,0.7,0.5,0.1
46,1624918125.6077695,75382784,-0.002053294718886415,0.019100928058226902,1.3946296175320942,0.455,0.41,0.0,0.0,0.78975,0.848125,4822.800187006324,0.5,0.9,0.0
47,1624918469.9486198,77021184,-0.0013381702495583643,0.03948129426377515,1.316848819454511,0.726875,0.89875,0.087625004,0.0,0.619,0.87625,4787.832851242429,0.8,0.7,0.1
48,1624918821.6631064,78659584,-0.0008870133315213025,0.010870316764339805,1.2433680444955826,0.877375,0.87625,0.196625,0.0,0.91225004,0.91,4731.483490956803,1.0,1.0,0.2
49,1624919171.951743,80297984,0.0005593016200388471,0.049774135618160166,1.2812623878320057,0.717875,0.87625,0.179625,0.0,0.706625,0.848125,4664.116716241204,0.8,0.8,0.3
50,1624919517.9922934,81936384,-0.0015006431300813954,0.08169252735873063,1.285875380039215,0.63925,0.870625,0.0,0.0,0.7133751,0.870625,4677.926371865827,0.7,0.8,0.0
